Chromosome	Midpoint	GenesPerMb	DNATEsPerMb	RNATEsPerMb
1	211500001.0	21.0	38.0	59.0
1	212000001.0	18.0	38.0	60.0
1	212500001.0	17.0	32.0	63.0
1	213000001.0	14.0	33.0	60.0
1	213500001.0	22.0	40.0	59.0
1	214000001.0	22.0	33.0	64.0
1	214500001.0	18.0	25.0	68.0
1	215000001.0	18.0	28.0	63.0
1	215500001.0	16.0	36.0	60.0
1	216000001.0	20.0	37.0	62.0
1	216500001.0	18.0	28.0	60.0
1	217000001.0	18.0	21.0	62.0
1	217500001.0	23.0	29.0	61.0
1	218000001.0	19.0	36.0	59.0
1	218500001.0	16.0	28.0	65.0
1	219000001.0	14.0	30.0	65.0
1	219500001.0	19.0	33.0	62.0
1	220000001.0	20.0	33.0	53.0
1	220500001.0	14.0	30.0	48.0
1	221000001.0	13.0	30.0	65.0
1	221500001.0	15.0	45.0	67.0
1	222000001.0	14.0	44.0	59.0
1	222500001.0	18.0	30.0	57.0
1	223000001.0	23.0	23.0	51.0
1	223500001.0	18.0	22.0	55.0
1	224000001.0	18.0	27.0	66.0
1	224500001.0	21.0	30.0	67.0
1	225000001.0	20.0	32.0	66.0
1	225500001.0	32.0	34.0	57.0
1	226000001.0	34.0	39.0	56.0
1	226500001.0	24.0	34.0	56.0
1	227000001.0	20.0	23.0	54.0
1	227500001.0	21.0	34.0	59.0
1	228000001.0	31.0	40.0	59.0
1	228500001.0	27.0	30.0	68.0
1	229000001.0	20.0	30.0	72.0
1	229500001.0	28.0	42.0	63.0
1	230000001.0	31.0	38.0	58.0
1	230500001.0	28.0	24.0	64.0
1	231000001.0	28.0	35.0	67.0
1	231500001.0	25.0	36.0	68.0
1	232000001.0	29.0	27.0	64.0
1	232500001.0	27.0	35.0	55.0
1	233000001.0	24.0	39.0	58.0
1	233500001.0	30.0	34.0	64.0
1	234000001.0	22.0	35.0	62.0
1	234500001.0	13.0	38.0	68.0
1	235000001.0	10.0	37.0	67.0
1	235500001.0	12.0	37.0	61.0
1	236000001.0	16.0	31.0	65.0
1	236500001.0	16.0	21.0	67.0
1	237000001.0	22.0	25.0	61.0
1	237500001.0	27.0	33.0	54.0
1	238000001.0	29.0	37.0	58.0
1	238500001.0	26.0	32.0	60.0
1	239000001.0	25.0	27.0	56.0
1	239500001.0	30.0	25.0	57.0
1	240000001.0	21.0	31.0	54.0
1	240500001.0	18.0	32.0	50.0
1	241000001.0	26.0	31.0	59.0
1	241500001.0	20.0	32.0	67.0
1	242000001.0	16.0	26.0	62.0
1	242500001.0	19.0	23.0	47.0
1	243000001.0	18.0	21.0	47.0
1	243500001.0	15.0	30.0	64.0
1	244000001.0	18.0	31.0	70.0
1	244500001.0	23.0	30.0	56.0
1	245000001.0	21.0	29.0	55.0
1	245500001.0	22.0	28.0	66.0
1	246000001.0	18.0	27.0	62.0
1	246500001.0	15.0	28.0	56.0
1	247000001.0	20.0	29.0	58.0
1	247500001.0	18.0	25.0	64.0
1	248000001.0	16.0	20.0	60.0
1	248500001.0	19.0	18.0	63.0
