Prop_Genes	Prop_Tandem	Prop_RNATE	Prop_DNATE	Subgenome
0.121924	0.003466	0.567164	0.214521	Maize1
0.195457	0.015385	0.57317	0.148356	Maize1
0.055486	0.0	0.506927	0.168725	Maize1
0.05777	0.004422	0.617232	0.189777	Maize1
0.102093	0.001038	0.624821	0.092695	Maize1
0.063995	0.037086	0.615165	0.213286	Maize1
0.114299	0.0	0.389614	0.164143	Maize1
0.037392	0.016037	0.610858	0.184865	Maize1
0.154628	0.001536	0.599562	0.175131	Maize1
0.040818	0.010051	0.703136	0.139977	Maize1
0.069582	0.000927	0.632244	0.177876	Maize1
0.112244	0.011521	0.692401	0.247367	Maize1
0.055584	0.018325	0.685162	0.1549	Maize1
0.099264	0.01024	0.653599	0.177624	Maize1
0.131388	0.011635	0.519541	0.154966	Maize1
0.067884	0.002282	0.678547	0.174144	Maize1
0.178081	0.008913	0.700569	0.231251	Maize1
0.112396	0.0	0.661608	0.242469	Maize1
0.090919	0.039017	0.661572	0.26497	Maize1
0.080872	0.001284	0.642291	0.242101	Maize1
0.103831	0.005221	0.671879	0.247935	Maize1
0.09638	0.003176	0.665378	0.243062	Maize1
0.111773	0.007442	0.643348	0.130482	Maize1
0.094338	0.004677	0.638214	0.213534	Maize1
0.100711	0.005686	0.647556	0.198413	Maize1
0.204134	0.036802	0.66663	0.264428	Maize1
0.058682	0.0	0.564098	0.108701	Maize1
0.060888	0.005441	0.726349	0.23091	Maize1
0.136151	0.001002	0.542055	0.22775	Maize1
0.113203	0.00099	0.615875	0.260169	Maize1
0.114093	0.0	0.709597	0.238805	Maize1
0.107968	0.009061	0.595782	0.18674	Maize1
0.082618	0.029871	0.667652	0.225772	Maize1
0.100378	0.011984	0.624003	0.258839	Maize1
0.105386	0.000248	0.55836	0.247189	Maize1
0.112292	0.001101	0.595424	0.180194	Maize1
0.108655	0.002109	0.673058	0.229881	Maize1
0.146712	0.008266	0.584831	0.114462	Maize1
0.14665	0.080333	0.661623	0.191815	Maize1
0.106313	0.014657	0.607444	0.307214	Maize1
0.081464	0.02465	0.529108	0.19709	Maize1
0.122037	0.026473	0.635298	0.218685	Maize1
0.058601	0.005043	0.599005	0.27031	Maize1
0.099617	0.006416	0.68058	0.197059	Maize1
0.111349	0.003589	0.59261	0.179032	Nonsyntenic
0.025216	0.006556	0.726724	0.173608	Maize1
0.104975	0.0	0.65808	0.160668	Maize1
0.093138	0.031823	0.643085	0.14152	Maize1
0.102567	0.017066	0.623883	0.163329	Maize1
0.103277	0.044805	0.561196	0.212872	Maize1
0.120065	0.004218	0.60182	0.227206	Maize1
0.16015	0.012989	0.644364	0.186116	Maize1
0.098347	0.010455	0.631157	0.208595	Maize1
0.154153	0.0	0.554799	0.136865	Maize1
0.178059	0.017925	0.642252	0.185706	Maize1
0.059676	0.01087	0.538155	0.094616	Maize1
0.161841	0.004181	0.550589	0.208177	Maize1
0.121092	0.016048	0.566319	0.157894	Maize1
0.200788	0.001604	0.57356	0.221778	Maize1
0.139925	0.0	0.681135	0.257964	Maize1
0.12159	0.0	0.67905	0.208867	Maize1
0.160428	0.026773	0.50972	0.21441	Maize1
0.152683	0.001413	0.596509	0.23498	Maize1
0.0	0.0	0.403169	0.0	Nonsyntenic
0.083251	0.0	0.611024	0.151963	Maize1
0.225626	0.011595	0.582003	0.222403	Maize1
0.201874	0.02811	0.434518	0.094337	Maize1
0.22101	0.014443	0.491052	0.180341	Maize1
0.199063	0.012327	0.537297	0.190512	Maize1
0.143824	0.005682	0.57759	0.253605	Maize1
0.16212	0.00406	0.552426	0.193851	Maize1
0.113511	0.039234	0.667082	0.180313	Maize1
0.125784	0.035678	0.590953	0.186026	Maize1
0.17178	0.008068	0.613906	0.193039	Maize1
0.20379	0.017742	0.522201	0.187091	Maize1
0.147713	0.015401	0.556508	0.242982	Maize1
0.138389	0.016865	0.550226	0.160932	Maize1
0.083027	0.003736	0.620935	0.101273	Maize1
0.153356	0.010249	0.559402	0.117299	Maize1
0.098657	0.008039	0.621372	0.200879	Maize1
0.147068	0.001308	0.600166	0.18559	Maize1
0.10394	0.016785	0.648129	0.21376	Maize1
0.144522	0.0	0.600554	0.073349	Maize1
0.144153	0.019255	0.542137	0.183936	Maize1
0.094083	0.005984	0.650276	0.19624	Maize1
