Interval	N_Genes	N_Tandem	N_RNATE	N_DNATE	Subgenome
5:163000000-164000000	19	2	75	39	maize1
5:164000000-165000000	16	0	65	34	maize1
5:165000000-166000000	13	0	69	30	maize1
5:166000000-167000000	24	0	71	31	maize1
5:167000000-168000000	24	2	70	31	maize1
5:168000000-169000000	14	0	67	28	maize1
5:169000000-170000000	8	1	74	20	maize1
5:170000000-171000000	23	1	65	29	maize1
5:171000000-172000000	19	4	69	24	maize1
5:172000000-173000000	20	0	70	27	maize1
5:173000000-174000000	14	0	72	25	Nonsyntenic
5:174000000-175000000	28	5	62	28	Nonsyntenic
5:175000000-176000000	24	3	66	40	Nonsyntenic
5:176000000-177000000	21	0	65	30	maize1
5:177000000-178000000	22	0	62	30	maize1
5:178000000-179000000	29	7	60	37	maize1
5:179000000-180000000	37	6	64	38	maize1
5:180000000-181000000	25	6	65	30	maize1
5:181000000-182000000	24	0	60	29	maize1
5:182000000-183000000	28	7	63	26	maize1
5:183000000-184000000	24	5	76	35	maize1
5:184000000-185000000	27	0	63	30	maize1
5:185000000-186000000	28	0	68	31	maize1
5:186000000-187000000	24	0	70	31	maize1
5:187000000-188000000	23	4	78	26	maize1
5:188000000-189000000	30	5	57	31	maize1
5:189000000-190000000	15	5	64	35	maize1
5:190000000-191000000	22	2	61	26	maize1
5:191000000-192000000	21	6	66	29	maize1
5:192000000-193000000	24	1	75	30	maize1
5:193000000-194000000	44	6	55	32	Nonsyntenic
5:194000000-195000000	16	1	62	34	maize1
5:195000000-196000000	29	2	62	40	maize1
5:196000000-197000000	24	4	59	31	maize1
5:197000000-198000000	32	10	68	41	maize1
5:198000000-199000000	24	2	65	28	maize1
5:199000000-200000000	27	2	62	40	maize1
5:200000000-201000000	16	1	76	24	maize1
5:201000000-202000000	25	3	56	29	maize1
5:202000000-203000000	17	2	68	31	maize1
5:203000000-204000000	20	1	54	33	maize1
5:204000000-205000000	28	0	64	35	maize1
5:205000000-206000000	36	11	55	34	maize1
5:206000000-207000000	33	4	69	25	maize1
5:207000000-208000000	30	2	64	34	maize1
5:208000000-209000000	24	2	64	41	maize1
5:209000000-210000000	44	6	67	39	maize1
5:210000000-211000000	49	2	50	51	maize1
5:211000000-212000000	40	5	57	46	maize1
5:212000000-213000000	29	0	42	32	maize1
5:213000000-214000000	31	2	53	24	maize1
5:214000000-215000000	32	5	57	34	Nonsyntenic
5:215000000-216000000	37	7	59	37	maize1
5:216000000-217000000	29	1	62	30	maize1
5:217000000-218000000	49	5	50	42	maize1
5:218000000-219000000	54	8	55	44	maize1
5:219000000-220000000	43	0	47	35	maize1
5:220000000-221000000	39	0	53	34	maize1
5:221000000-222000000	53	2	52	34	maize1
5:222000000-223000000	44	2	47	36	maize1
5:223000000-223902240	25	0	54	32	Nonsyntenic
6:0-1000000	19	2	66	28	maize1
6:1000000-2000000	27	5	68	25	Nonsyntenic
6:2000000-3000000	18	2	64	33	maize1
6:3000000-4000000	29	5	67	39	maize1
6:4000000-5000000	17	3	69	33	maize1
6:5000000-6000000	14	8	78	37	maize1
6:6000000-7000000	21	2	71	36	maize1
6:7000000-8000000	23	9	68	37	maize1
6:8000000-9000000	14	1	69	33	maize1
6:9000000-10000000	14	0	72	32	Nonsyntenic
6:10000000-11000000	5	0	87	22	Nonsyntenic
6:11000000-12000000	0	0	44	10	Nonsyntenic
6:12000000-13000000	0	0	7	4	Nonsyntenic
6:13000000-14000000	1	0	17	4	Nonsyntenic
6:14000000-15000000	2	1	56	24	Nonsyntenic
6:15000000-16000000	9	6	79	25	Nonsyntenic
6:16000000-17000000	8	1	76	35	Nonsyntenic
6:17000000-18000000	9	3	67	31	Nonsyntenic
6:18000000-19000000	14	2	71	34	Nonsyntenic
6:19000000-20000000	11	0	77	38	Nonsyntenic
6:20000000-21000000	13	3	61	27	Nonsyntenic
6:21000000-22000000	16	1	71	34	Nonsyntenic
6:22000000-23000000	15	0	62	24	Nonsyntenic
6:23000000-24000000	23	3	69	36	Nonsyntenic
6:24000000-25000000	21	3	70	38	Nonsyntenic
6:25000000-26000000	17	2	71	32	Nonsyntenic
6:26000000-27000000	5	0	70	27	maize1
6:27000000-28000000	5	0	78	31	maize1
6:28000000-29000000	19	0	59	32	maize1
6:29000000-30000000	17	0	75	46	maize1
6:30000000-31000000	8	0	63	29	maize1
6:31000000-32000000	12	2	60	26	maize1
6:32000000-33000000	9	2	70	31	maize1
6:33000000-34000000	12	5	64	37	maize1
6:34000000-35000000	8	1	71	26	maize1
6:35000000-36000000	11	3	74	36	maize1
6:36000000-37000000	13	8	71	37	maize1
6:37000000-38000000	17	7	77	43	maize1
6:38000000-39000000	12	2	69	29	maize1
6:39000000-40000000	9	3	64	25	maize1
6:40000000-41000000	14	4	71	30	maize1
6:41000000-42000000	21	2	68	28	maize1
6:42000000-43000000	7	4	58	22	maize1
6:43000000-44000000	6	3	71	25	maize1
6:44000000-45000000	7	0	74	33	maize1
6:45000000-46000000	7	2	71	37	maize1
6:46000000-47000000	12	0	68	29	maize1
6:47000000-48000000	3	0	76	27	maize1
6:48000000-49000000	5	0	71	31	Nonsyntenic
6:49000000-50000000	1	0	70	31	maize1
6:50000000-51000000	8	0	61	22	maize1
6:51000000-52000000	4	0	83	17	Nonsyntenic
6:52000000-53000000	5	2	78	28	Nonsyntenic
6:53000000-54000000	6	1	73	27	Nonsyntenic
6:54000000-55000000	6	1	77	28	maize2
6:55000000-56000000	4	0	72	28	Nonsyntenic
6:56000000-57000000	3	0	78	30	Nonsyntenic
6:57000000-58000000	10	0	66	29	maize2
6:58000000-59000000	22	4	69	26	maize2
6:59000000-60000000	8	0	70	28	maize2
6:60000000-61000000	10	0	59	21	maize2
6:61000000-62000000	16	0	70	33	maize2
6:62000000-63000000	7	0	78	28	maize2
6:63000000-64000000	4	2	70	30	maize2
6:64000000-65000000	10	2	60	18	maize2
6:65000000-66000000	15	0	67	29	maize2
6:66000000-67000000	11	0	61	34	maize2
6:67000000-68000000	9	0	81	26	maize2
6:68000000-69000000	7	0	66	27	maize2
6:69000000-70000000	11	1	72	29	maize2
6:70000000-71000000	6	5	75	33	maize2
6:71000000-72000000	10	0	69	40	maize2
6:72000000-73000000	14	4	63	25	maize2
6:73000000-74000000	13	0	69	23	maize2
6:74000000-75000000	12	2	67	25	maize2
6:75000000-76000000	17	0	59	33	maize2
6:76000000-77000000	16	0	71	28	maize2
6:77000000-78000000	21	0	64	41	maize2
6:78000000-79000000	10	3	60	22	maize2
6:79000000-80000000	9	0	63	31	maize2
6:80000000-81000000	5	4	62	30	maize2
6:81000000-82000000	15	8	65	23	maize2
6:82000000-83000000	8	0	67	30	maize2
6:83000000-84000000	14	1	64	23	maize2
6:84000000-85000000	13	1	81	26	Nonsyntenic
6:85000000-86000000	22	2	58	34	maize2
6:86000000-87000000	24	4	72	28	maize2
6:87000000-88000000	16	0	60	38	maize2
6:88000000-89000000	21	0	80	36	maize2
6:89000000-90000000	17	4	77	33	maize2
6:90000000-91000000	24	0	66	37	maize2
6:91000000-92000000	33	2	51	26	maize2
6:92000000-93000000	9	3	83	21	maize2
6:93000000-94000000	15	2	68	39	maize2
6:94000000-95000000	13	0	73	33	maize2
6:95000000-96000000	22	4	68	32	maize2
6:96000000-97000000	13	4	70	31	maize2
6:97000000-98000000	27	4	61	29	maize2
6:98000000-99000000	23	0	65	32	maize2
6:99000000-100000000	30	3	59	35	maize2
6:100000000-101000000	25	1	69	33	maize2
6:101000000-102000000	23	7	59	42	maize2
6:102000000-103000000	9	6	35	18	maize2
6:103000000-104000000	21	7	65	41	Nonsyntenic
6:104000000-105000000	10	4	64	21	Nonsyntenic
6:105000000-106000000	29	0	59	36	Nonsyntenic
6:106000000-107000000	29	4	58	40	maize2
6:107000000-108000000	19	0	65	30	maize2
6:108000000-109000000	37	3	54	33	maize2
6:109000000-110000000	20	2	64	29	maize2
6:110000000-111000000	18	2	62	45	Nonsyntenic
6:111000000-112000000	30	4	69	33	Nonsyntenic
6:112000000-113000000	22	0	61	37	maize2
6:113000000-114000000	27	1	53	36	maize2
6:114000000-115000000	24	1	62	36	maize2
6:115000000-116000000	21	2	64	29	maize2
6:116000000-117000000	18	0	60	33	maize2
6:117000000-118000000	16	4	71	42	maize2
6:118000000-119000000	18	1	63	34	maize2
6:119000000-120000000	23	2	68	24	Nonsyntenic
6:120000000-121000000	20	4	64	39	maize2
6:121000000-122000000	11	0	61	32	maize2
6:122000000-123000000	20	0	64	30	Nonsyntenic
6:123000000-124000000	14	3	69	21	maize2
6:124000000-125000000	30	8	54	22	maize2
6:125000000-126000000	25	0	56	30	Nonsyntenic
6:126000000-127000000	23	0	59	31	Nonsyntenic
6:127000000-128000000	27	2	56	41	Nonsyntenic
6:128000000-129000000	26	1	55	29	maize1
6:129000000-130000000	15	1	68	29	maize1
6:130000000-131000000	18	2	67	33	Nonsyntenic
6:131000000-132000000	18	3	67	33	Nonsyntenic
6:132000000-133000000	27	3	57	40	Nonsyntenic
6:133000000-134000000	26	6	50	41	Nonsyntenic
6:134000000-135000000	21	1	60	35	Nonsyntenic
6:135000000-136000000	22	3	65	43	Nonsyntenic
6:136000000-137000000	27	3	47	40	Nonsyntenic
6:137000000-138000000	18	0	56	32	maize1
6:138000000-139000000	23	0	62	33	Nonsyntenic
6:139000000-140000000	26	0	64	23	Nonsyntenic
6:140000000-141000000	16	4	67	32	Nonsyntenic
6:141000000-142000000	28	4	58	35	maize1
6:142000000-143000000	20	1	71	31	maize1
6:143000000-144000000	25	3	57	33	maize1
6:144000000-145000000	26	5	61	35	maize1
6:145000000-146000000	37	2	53	30	maize1
6:146000000-147000000	28	4	47	26	Nonsyntenic
6:147000000-148000000	21	4	67	26	maize1
6:148000000-149000000	26	0	62	32	maize1
6:149000000-150000000	22	0	63	27	maize1
6:150000000-151000000	23	7	61	24	maize1
6:151000000-152000000	33	0	53	43	maize1
6:152000000-153000000	30	4	59	32	Nonsyntenic
6:153000000-154000000	26	2	63	49	Nonsyntenic
6:154000000-155000000	39	2	60	39	Nonsyntenic
6:155000000-156000000	26	0	62	36	maize1
6:156000000-157000000	31	6	61	36	maize1
6:157000000-158000000	40	8	52	38	maize1
6:158000000-159000000	38	0	60	39	maize1
6:159000000-160000000	51	6	65	35	maize1
6:160000000-161000000	45	6	59	39	maize1
6:161000000-162000000	35	3	54	44	maize1
6:162000000-163000000	36	6	42	26	maize1
6:163000000-164000000	46	2	55	39	Nonsyntenic
6:164000000-165000000	44	5	60	37	maize1
6:165000000-166000000	44	3	52	33	Nonsyntenic
6:166000000-167000000	54	11	50	31	maize1
6:167000000-168000000	41	2	66	34	maize1
6:168000000-169000000	52	2	50	42	maize1
6:169000000-170000000	55	10	56	37	maize1
6:170000000-171000000	35	6	61	36	maize1
6:171000000-172000000	31	2	57	38	Nonsyntenic
6:172000000-173000000	31	2	61	33	Nonsyntenic
6:173000000-174000000	11	4	74	21	Nonsyntenic
6:174000000-174033170	0	0	1	1	Nonsyntenic
7:0-1000000	22	1	67	34	maize1
7:1000000-2000000	38	14	60	30	maize1
7:2000000-3000000	45	20	62	39	maize1
7:3000000-4000000	26	3	62	32	maize1
7:4000000-5000000	29	8	57	24	maize1
7:5000000-6000000	34	0	59	37	maize1
7:6000000-7000000	21	2	64	30	maize1
7:7000000-8000000	28	11	65	36	maize1
7:8000000-9000000	25	3	66	40	maize1
7:9000000-10000000	22	2	73	36	maize1
7:10000000-11000000	22	2	60	38	maize1
7:11000000-12000000	17	2	66	32	maize1
7:12000000-13000000	23	7	58	37	maize1
7:13000000-14000000	15	4	72	31	maize1
7:14000000-15000000	18	5	70	30	maize1
7:15000000-16000000	26	5	63	34	maize1
7:16000000-17000000	10	2	64	23	maize1
7:17000000-18000000	11	2	73	41	maize1
7:18000000-19000000	13	0	56	39	maize1
7:19000000-20000000	16	3	65	29	maize1
7:20000000-21000000	18	0	66	28	maize1
7:21000000-22000000	9	0	66	35	maize1
7:22000000-23000000	16	2	60	41	maize1
7:23000000-24000000	16	3	75	26	maize1
7:24000000-25000000	14	6	68	25	maize1
7:25000000-26000000	19	7	70	31	maize1
7:26000000-27000000	15	6	66	33	maize1
7:27000000-28000000	10	0	70	33	maize1
7:28000000-29000000	18	2	59	28	maize1
7:29000000-30000000	14	0	69	36	maize1
7:30000000-31000000	11	3	66	31	maize1
7:31000000-32000000	11	2	69	20	maize1
7:32000000-33000000	18	7	64	34	maize1
7:33000000-34000000	13	0	65	26	maize1
7:34000000-35000000	17	0	62	18	maize1
7:35000000-36000000	11	0	65	19	maize1
7:36000000-37000000	10	0	59	28	maize1
7:37000000-38000000	7	0	59	23	maize1
7:38000000-39000000	6	0	65	25	maize1
7:39000000-40000000	10	0	69	21	maize1
7:40000000-41000000	6	0	53	27	maize1
7:41000000-42000000	12	2	61	25	maize1
7:42000000-43000000	9	3	60	27	maize1
7:43000000-44000000	7	1	69	22	maize1
7:44000000-45000000	10	0	69	25	maize1
7:45000000-46000000	10	0	73	18	maize1
7:46000000-47000000	17	0	66	34	maize1
7:47000000-48000000	11	0	67	30	maize1
7:48000000-49000000	8	0	74	20	Nonsyntenic
7:49000000-50000000	9	0	63	25	Nonsyntenic
7:50000000-51000000	8	2	64	29	Nonsyntenic
7:51000000-52000000	9	0	69	38	Nonsyntenic
7:52000000-53000000	5	2	67	31	maize1
7:53000000-54000000	8	0	52	27	maize1
7:54000000-55000000	7	3	68	24	maize1
7:55000000-56000000	4	1	71	23	maize1
7:56000000-57000000	8	2	72	20	Nonsyntenic
7:57000000-58000000	6	2	70	20	Nonsyntenic
7:58000000-59000000	5	0	54	15	Nonsyntenic
7:59000000-60000000	3	0	72	22	Nonsyntenic
7:60000000-61000000	0	0	61	19	Nonsyntenic
7:61000000-62000000	2	0	76	25	Nonsyntenic
7:62000000-63000000	9	0	74	25	Nonsyntenic
7:63000000-64000000	6	0	79	24	Nonsyntenic
7:64000000-65000000	6	0	70	28	Nonsyntenic
7:65000000-66000000	3	0	77	17	Nonsyntenic
7:66000000-67000000	1	0	78	24	Nonsyntenic
7:67000000-68000000	5	0	79	20	Nonsyntenic
7:68000000-69000000	3	0	70	12	Nonsyntenic
7:69000000-70000000	2	0	73	20	Nonsyntenic
7:70000000-71000000	7	1	70	25	Nonsyntenic
7:71000000-72000000	7	1	69	25	Nonsyntenic
7:72000000-73000000	2	0	72	24	Nonsyntenic
7:73000000-74000000	12	0	71	17	Nonsyntenic
7:74000000-75000000	4	0	72	23	maize1
7:75000000-76000000	7	0	62	21	maize1
7:76000000-77000000	4	0	66	23	Nonsyntenic
7:77000000-78000000	4	0	75	28	Nonsyntenic
7:78000000-79000000	7	0	63	19	Nonsyntenic
7:79000000-80000000	7	1	68	34	Nonsyntenic
7:80000000-81000000	6	1	77	25	Nonsyntenic
7:81000000-82000000	9	0	67	22	maize1
7:82000000-83000000	2	0	68	19	maize1
7:83000000-84000000	8	0	66	26	maize1
7:84000000-85000000	5	0	54	20	Nonsyntenic
7:85000000-86000000	12	0	62	24	maize1
7:86000000-87000000	5	2	67	28	maize1
7:87000000-88000000	11	0	64	28	maize1
7:88000000-89000000	8	0	69	26	maize1
7:89000000-90000000	10	0	64	25	maize1
7:90000000-91000000	10	0	73	25	maize1
7:91000000-92000000	8	0	64	24	maize1
7:92000000-93000000	11	1	62	24	maize1
7:93000000-94000000	5	1	47	15	maize1
7:94000000-95000000	9	0	68	23	maize1
7:95000000-96000000	11	2	62	36	maize1
7:96000000-97000000	6	0	71	32	maize1
7:97000000-98000000	9	0	62	28	maize1
7:98000000-99000000	19	2	64	32	maize1
7:99000000-100000000	2	0	69	29	maize1
7:100000000-101000000	12	0	70	37	maize1
7:101000000-102000000	14	0	64	22	maize1
7:102000000-103000000	16	4	62	29	maize1
7:103000000-104000000	14	5	65	25	maize1
7:104000000-105000000	15	2	68	27	maize1
7:105000000-106000000	10	2	61	34	maize1
7:106000000-107000000	10	0	64	31	maize1
7:107000000-108000000	7	0	58	30	maize1
7:108000000-109000000	13	2	57	27	maize1
7:109000000-110000000	10	0	65	29	maize1
7:110000000-111000000	12	0	66	28	maize1
7:111000000-112000000	13	4	63	33	maize1
7:112000000-113000000	11	0	65	29	maize1
7:113000000-114000000	11	0	69	36	maize1
7:114000000-115000000	14	0	70	30	maize1
7:115000000-116000000	7	0	65	34	maize1
7:116000000-117000000	8	2	62	30	maize1
7:117000000-118000000	5	2	58	27	maize1
7:118000000-119000000	14	5	70	27	maize1
7:119000000-120000000	16	6	63	26	maize1
7:120000000-121000000	9	3	54	18	maize1
7:121000000-122000000	16	1	69	41	maize1
7:122000000-123000000	17	6	68	31	maize1
7:123000000-124000000	19	8	63	36	maize1
7:124000000-125000000	15	2	69	33	maize1
7:125000000-126000000	22	0	64	29	maize1
7:126000000-127000000	16	2	65	32	maize1
7:127000000-128000000	16	0	63	42	maize1
7:128000000-129000000	14	0	62	38	maize1
7:129000000-130000000	12	0	68	33	maize1
7:130000000-131000000	25	11	69	31	maize1
7:131000000-132000000	21	6	68	36	maize1
7:132000000-133000000	19	4	64	37	maize1
7:133000000-134000000	18	2	68	29	maize1
7:134000000-135000000	24	3	60	40	maize1
7:135000000-136000000	27	3	60	36	maize1
7:136000000-137000000	28	0	60	37	maize1
7:137000000-138000000	24	3	63	39	maize1
7:138000000-139000000	20	2	69	36	maize1
7:139000000-140000000	11	0	59	30	maize1
7:140000000-141000000	27	4	67	32	maize1
7:141000000-142000000	28	2	67	28	maize1
7:142000000-143000000	27	7	63	36	maize1
7:143000000-144000000	26	2	65	28	maize1
7:144000000-145000000	19	2	65	32	Nonsyntenic
7:145000000-146000000	26	2	65	38	Nonsyntenic
7:146000000-147000000	41	6	53	28	Nonsyntenic
7:147000000-148000000	28	1	65	32	Nonsyntenic
7:148000000-149000000	30	3	64	34	Nonsyntenic
7:149000000-150000000	31	1	62	41	Nonsyntenic
7:150000000-151000000	27	0	59	36	maize1
7:151000000-152000000	25	2	65	30	maize1
7:152000000-153000000	34	5	63	32	maize1
7:153000000-154000000	17	4	58	30	Nonsyntenic
7:154000000-155000000	26	2	64	27	maize1
7:155000000-156000000	26	0	52	32	maize1
7:156000000-157000000	19	4	57	35	maize1
7:157000000-158000000	18	2	62	37	maize1
7:158000000-159000000	33	2	60	39	maize1
7:159000000-160000000	31	4	58	40	maize1
7:160000000-161000000	28	14	59	28	maize1
7:161000000-162000000	25	10	66	41	maize1
7:162000000-163000000	39	8	56	41	maize1
7:163000000-164000000	35	0	63	40	maize1
7:164000000-165000000	38	4	56	41	maize1
7:165000000-166000000	50	2	56	32	maize1
7:166000000-167000000	20	7	74	34	maize1
7:167000000-168000000	49	4	47	44	maize1
7:168000000-169000000	28	2	66	33	maize1
7:169000000-170000000	31	5	77	37	maize1
7:170000000-171000000	39	6	59	30	maize1
7:171000000-172000000	36	0	46	37	maize1
7:172000000-173000000	34	6	64	32	maize1
7:173000000-174000000	42	2	51	32	maize1
7:174000000-175000000	38	12	60	36	maize1
7:175000000-176000000	32	8	65	37	maize1
7:176000000-177000000	46	4	51	40	maize1
7:177000000-178000000	37	4	56	32	Nonsyntenic
7:178000000-179000000	45	6	51	55	maize1
7:179000000-180000000	46	2	59	42	Nonsyntenic
7:180000000-181000000	46	0	57	40	Nonsyntenic
7:181000000-182000000	25	3	68	23	maize1
7:182000000-182381542	5	1	31	14	Nonsyntenic
8:0-1000000	28	0	64	39	maize2
8:1000000-2000000	23	0	66	34	maize2
8:2000000-3000000	18	0	63	23	maize2
8:3000000-4000000	25	2	62	40	maize2
8:4000000-5000000	27	3	59	29	maize2
8:5000000-6000000	22	5	60	34	maize2
8:6000000-7000000	33	0	58	42	maize2
8:7000000-8000000	18	2	75	41	maize2
8:8000000-9000000	37	4	52	39	maize2
8:9000000-10000000	25	16	63	39	maize2
8:10000000-11000000	16	4	67	32	maize2
8:11000000-12000000	21	2	58	33	maize2
8:12000000-13000000	19	0	67	45	maize2
8:13000000-14000000	34	4	67	35	maize2
8:14000000-15000000	19	2	66	34	maize2
8:15000000-16000000	24	6	62	29	maize2
8:16000000-17000000	16	2	62	43	maize2
8:17000000-18000000	37	0	64	43	maize2
8:18000000-19000000	17	0	73	34	maize2
8:19000000-20000000	28	2	63	38	maize2
8:20000000-21000000	15	0	64	35	Nonsyntenic
8:21000000-22000000	18	0	66	35	Nonsyntenic
8:22000000-23000000	23	0	63	41	Nonsyntenic
8:23000000-24000000	17	0	61	28	maize2
8:24000000-25000000	19	4	68	29	maize2
8:25000000-26000000	23	5	73	29	maize2
8:26000000-27000000	15	0	73	30	maize2
8:27000000-28000000	14	0	60	31	maize2
8:28000000-29000000	11	2	65	23	maize2
8:29000000-30000000	17	1	76	31	maize2
8:30000000-31000000	23	0	64	28	Nonsyntenic
8:31000000-32000000	1	0	52	22	Nonsyntenic
8:32000000-33000000	0	0	42	13	Nonsyntenic
8:33000000-34000000	10	0	68	32	Nonsyntenic
8:34000000-35000000	7	0	65	36	Nonsyntenic
8:35000000-36000000	13	2	66	28	maize2
8:36000000-37000000	9	0	63	24	maize2
8:37000000-38000000	13	1	66	27	maize2
8:38000000-39000000	15	3	63	25	Nonsyntenic
8:39000000-40000000	11	0	55	29	Nonsyntenic
8:40000000-41000000	8	0	62	20	Nonsyntenic
8:41000000-42000000	12	0	68	27	Nonsyntenic
8:42000000-43000000	7	0	59	23	maize2
8:43000000-44000000	3	0	76	12	maize2
8:44000000-45000000	11	0	64	24	Nonsyntenic
8:45000000-46000000	10	0	64	22	maize2
8:46000000-47000000	5	0	58	30	maize2
8:47000000-48000000	9	0	72	27	maize2
8:48000000-49000000	4	0	74	22	maize2
8:49000000-50000000	4	0	73	28	Nonsyntenic
8:50000000-51000000	5	0	60	16	Nonsyntenic
8:51000000-52000000	1	0	57	13	Nonsyntenic
8:52000000-53000000	9	0	71	28	Nonsyntenic
8:53000000-54000000	2	0	77	22	Nonsyntenic
8:54000000-55000000	4	0	67	14	Nonsyntenic
8:55000000-56000000	7	0	63	17	Nonsyntenic
8:56000000-57000000	11	0	65	23	Nonsyntenic
8:57000000-58000000	11	0	67	18	Nonsyntenic
8:58000000-59000000	4	0	66	19	Nonsyntenic
8:59000000-60000000	5	0	66	23	Nonsyntenic
8:60000000-61000000	7	0	65	19	maize2
8:61000000-62000000	8	0	64	28	maize2
8:62000000-63000000	10	0	76	31	maize2
8:63000000-64000000	19	0	65	33	Nonsyntenic
8:64000000-65000000	16	2	73	36	maize2
8:65000000-66000000	11	2	58	37	maize2
8:66000000-67000000	11	0	73	31	maize2
8:67000000-68000000	19	2	65	30	maize2
8:68000000-69000000	16	0	72	24	maize2
8:69000000-70000000	15	0	68	25	maize2
8:70000000-71000000	13	2	71	25	maize2
8:71000000-72000000	18	0	68	25	maize2
8:72000000-73000000	19	3	66	27	maize2
8:73000000-74000000	19	0	76	30	maize2
8:74000000-75000000	19	4	65	29	maize2
8:75000000-76000000	17	0	68	31	maize2
8:76000000-77000000	12	2	62	30	maize2
8:77000000-78000000	14	0	70	21	maize2
8:78000000-79000000	14	6	67	24	maize2
8:79000000-80000000	14	0	70	28	maize2
8:80000000-81000000	22	0	60	27	Nonsyntenic
8:81000000-82000000	13	0	65	29	Nonsyntenic
8:82000000-83000000	14	0	56	25	maize2
8:83000000-84000000	4	0	63	24	maize2
8:84000000-85000000	16	0	67	33	Nonsyntenic
8:85000000-86000000	12	0	71	20	Nonsyntenic
8:86000000-87000000	11	2	65	24	Nonsyntenic
8:87000000-88000000	10	0	73	22	Nonsyntenic
8:88000000-89000000	13	2	64	31	maize2
8:89000000-90000000	15	2	65	27	Nonsyntenic
8:90000000-91000000	9	0	68	31	Nonsyntenic
8:91000000-92000000	8	2	73	29	maize2
8:92000000-93000000	13	0	61	21	Nonsyntenic
8:93000000-94000000	16	0	62	31	Nonsyntenic
8:94000000-95000000	8	0	76	24	maize2
8:95000000-96000000	13	0	67	27	Nonsyntenic
8:96000000-97000000	19	2	63	34	Nonsyntenic
8:97000000-98000000	11	0	66	27	Nonsyntenic
8:98000000-99000000	15	0	66	27	Nonsyntenic
8:99000000-100000000	21	8	69	26	Nonsyntenic
8:100000000-101000000	10	0	70	28	Nonsyntenic
8:101000000-102000000	13	1	65	31	maize2
8:102000000-103000000	15	1	65	37	maize2
8:103000000-104000000	27	0	57	34	maize2
8:104000000-105000000	21	0	61	29	maize2
8:105000000-106000000	13	2	68	31	maize2
8:106000000-107000000	21	2	58	31	maize2
8:107000000-108000000	12	0	73	30	maize2
8:108000000-109000000	10	4	72	26	maize2
8:109000000-110000000	14	0	64	35	maize2
8:110000000-111000000	19	6	70	34	Nonsyntenic
8:111000000-112000000	10	0	70	45	maize2
8:112000000-113000000	19	2	64	28	Nonsyntenic
8:113000000-114000000	14	0	67	25	Nonsyntenic
8:114000000-115000000	11	0	64	27	maize2
8:115000000-116000000	19	4	56	24	Nonsyntenic
8:116000000-117000000	13	0	62	30	Nonsyntenic
8:117000000-118000000	17	0	59	33	Nonsyntenic
8:118000000-119000000	18	0	70	39	Nonsyntenic
8:119000000-120000000	21	0	69	35	maize2
8:120000000-121000000	30	0	60	34	maize2
8:121000000-122000000	27	2	60	43	maize2
8:122000000-123000000	31	2	63	37	maize2
8:123000000-124000000	16	2	69	28	maize2
8:124000000-125000000	16	2	50	30	maize2
8:125000000-126000000	22	0	69	40	maize2
8:126000000-127000000	26	4	54	41	maize2
8:127000000-128000000	29	13	62	40	maize2
8:128000000-129000000	27	0	60	37	Nonsyntenic
8:129000000-130000000	12	0	65	29	Nonsyntenic
8:130000000-131000000	12	0	60	26	maize2
8:131000000-132000000	13	4	65	24	maize2
8:132000000-133000000	20	0	59	32	maize2
8:133000000-134000000	20	3	63	25	maize2
8:134000000-135000000	18	0	63	28	maize2
8:135000000-136000000	21	0	67	43	maize2
8:136000000-137000000	31	4	60	33	maize2
8:137000000-138000000	32	4	68	27	maize2
8:138000000-139000000	26	6	61	33	maize2
8:139000000-140000000	29	0	65	34	Nonsyntenic
8:140000000-141000000	19	0	58	20	maize2
8:141000000-142000000	18	0	58	34	maize2
8:142000000-143000000	21	0	59	18	Nonsyntenic
8:143000000-144000000	18	0	68	32	Nonsyntenic
8:144000000-145000000	26	2	62	44	maize2
8:145000000-146000000	19	0	71	37	maize2
8:146000000-147000000	28	6	59	40	maize2
8:147000000-148000000	17	5	66	36	maize2
8:148000000-149000000	17	2	61	36	maize2
8:149000000-150000000	33	3	51	33	maize2
8:150000000-151000000	31	4	56	30	maize2
8:151000000-152000000	17	0	61	39	maize2
8:152000000-153000000	23	0	63	34	maize2
8:153000000-154000000	22	0	57	30	maize2
8:154000000-155000000	32	4	60	35	maize2
8:155000000-156000000	28	3	54	31	maize2
8:156000000-157000000	21	5	69	37	maize2
8:157000000-158000000	25	5	59	38	maize2
8:158000000-159000000	20	0	64	32	maize2
8:159000000-160000000	27	1	65	35	maize2
8:160000000-161000000	31	5	63	31	maize2
8:161000000-162000000	44	0	60	36	Nonsyntenic
8:162000000-163000000	34	0	61	34	maize2
8:163000000-164000000	22	0	68	30	maize2
8:164000000-165000000	52	5	60	40	maize2
8:165000000-166000000	29	2	55	37	maize2
8:166000000-167000000	39	2	56	37	maize2
8:167000000-168000000	35	2	61	46	maize2
8:168000000-169000000	48	6	66	45	maize2
8:169000000-170000000	37	5	64	32	maize2
8:170000000-171000000	40	3	50	45	maize2
8:171000000-172000000	36	1	67	35	maize2
8:172000000-173000000	58	2	54	41	maize2
8:173000000-174000000	40	11	59	36	maize2
8:174000000-175000000	46	2	51	36	maize2
8:175000000-176000000	47	0	45	42	maize2
8:176000000-177000000	62	6	47	42	maize2
8:177000000-178000000	55	0	56	31	maize2
8:178000000-179000000	44	2	52	34	maize2
8:179000000-180000000	46	2	55	36	maize2
