Interval	N_Genes	N_Tandem	N_RNATE	N_DNATE	Subgenome
1:296000000-297000000	25	2	68	29	maize1
1:297000000-298000000	31	0	55	35	maize1
1:298000000-299000000	28	9	66	38	maize1
1:299000000-300000000	26	5	62	23	maize1
1:300000000-301000000	41	3	56	34	maize1
1:301000000-302000000	35	7	57	27	maize1
1:302000000-303000000	37	2	62	35	maize1
1:303000000-304000000	32	0	63	40	maize1
1:304000000-305000000	32	0	64	31	maize1
1:305000000-306000000	24	2	49	36	maize1
1:306000000-307000000	27	3	63	34	Nonsyntenic
1:307000000-307041717	0	0	3	0	Nonsyntenic
2:0-1000000	22	0	66	31	maize1
2:1000000-2000000	56	4	51	40	maize1
2:2000000-3000000	55	6	41	18	maize1
2:3000000-4000000	54	8	45	50	maize1
2:4000000-5000000	54	8	52	35	maize1
2:5000000-6000000	44	10	61	37	maize1
2:6000000-7000000	53	8	57	29	maize1
2:7000000-8000000	27	11	64	31	Nonsyntenic
2:8000000-9000000	47	24	53	41	Nonsyntenic
2:9000000-10000000	40	4	57	36	maize1
2:10000000-11000000	51	3	55	36	maize1
2:11000000-12000000	33	8	53	51	maize1
2:12000000-13000000	43	7	57	38	maize1
2:13000000-14000000	34	2	61	17	maize1
2:14000000-15000000	37	7	58	29	maize1
2:15000000-16000000	35	8	63	42	maize1
2:16000000-17000000	33	2	61	45	maize1
2:17000000-18000000	19	4	62	33	maize1
2:18000000-19000000	21	0	66	26	maize1
2:19000000-20000000	32	4	51	28	maize1
2:20000000-21000000	25	3	62	37	maize1
2:21000000-22000000	23	6	66	26	maize1
2:22000000-23000000	26	2	65	35	maize1
2:23000000-24000000	25	2	63	32	maize1
2:24000000-25000000	32	2	66	28	maize1
2:25000000-26000000	24	3	67	29	Nonsyntenic
2:26000000-27000000	21	10	73	38	maize1
2:27000000-28000000	19	0	64	34	Nonsyntenic
2:28000000-29000000	35	4	68	28	maize1
2:29000000-30000000	32	8	63	34	Nonsyntenic
2:30000000-31000000	25	5	60	32	maize1
2:31000000-32000000	26	4	63	34	Nonsyntenic
2:32000000-33000000	22	0	64	39	maize1
2:33000000-34000000	32	5	67	23	maize1
2:34000000-35000000	21	5	69	34	maize1
2:35000000-36000000	20	5	67	28	maize1
2:36000000-37000000	19	2	67	26	maize1
2:37000000-38000000	16	5	71	34	maize1
2:38000000-39000000	34	2	59	32	maize1
2:39000000-40000000	23	4	68	33	maize1
2:40000000-41000000	16	2	73	32	maize1
2:41000000-42000000	22	8	70	33	maize1
2:42000000-43000000	20	2	63	39	maize1
2:43000000-44000000	23	0	71	42	maize1
2:44000000-45000000	18	3	73	20	maize1
2:45000000-46000000	24	8	65	47	maize1
2:46000000-47000000	32	6	65	31	maize1
2:47000000-48000000	18	0	55	26	maize1
2:48000000-49000000	14	2	64	38	maize1
2:49000000-50000000	18	3	67	37	maize1
2:50000000-51000000	19	0	62	33	maize1
2:51000000-52000000	16	0	66	38	maize1
2:52000000-53000000	12	1	65	39	maize1
2:53000000-54000000	18	2	68	18	maize1
2:54000000-55000000	10	3	70	30	maize1
2:55000000-56000000	11	2	67	28	maize1
2:56000000-57000000	23	2	65	31	maize1
2:57000000-58000000	20	2	66	27	maize1
2:58000000-59000000	11	0	77	29	maize1
2:59000000-60000000	21	5	63	43	maize1
2:60000000-61000000	15	0	67	33	maize1
2:61000000-62000000	14	0	63	30	maize1
2:62000000-63000000	7	2	68	21	maize1
2:63000000-64000000	8	3	69	22	maize1
2:64000000-65000000	9	1	61	33	maize1
2:65000000-66000000	10	0	68	31	maize1
2:66000000-67000000	8	0	67	31	maize1
2:67000000-68000000	3	0	66	27	maize1
2:68000000-69000000	6	0	67	26	maize1
2:69000000-70000000	4	0	67	31	maize1
2:70000000-71000000	7	2	72	28	maize1
2:71000000-72000000	5	2	67	28	maize1
2:72000000-73000000	15	3	63	26	maize1
2:73000000-74000000	9	0	65	25	Nonsyntenic
2:74000000-75000000	11	0	72	29	maize1
2:75000000-76000000	11	0	68	26	maize1
2:76000000-77000000	8	1	63	33	maize1
2:77000000-78000000	3	1	72	18	Nonsyntenic
2:78000000-79000000	7	0	68	23	Nonsyntenic
2:79000000-80000000	10	0	66	22	Nonsyntenic
2:80000000-81000000	15	0	56	32	Nonsyntenic
2:81000000-82000000	7	0	73	30	Nonsyntenic
2:82000000-83000000	8	0	66	22	Nonsyntenic
2:83000000-84000000	8	0	73	27	Nonsyntenic
2:84000000-85000000	6	0	67	32	Nonsyntenic
2:85000000-86000000	12	0	62	23	maize1
2:86000000-87000000	7	0	67	28	maize1
2:87000000-88000000	1	0	69	27	maize1
2:88000000-89000000	8	0	67	41	maize1
2:89000000-90000000	6	2	63	29	Nonsyntenic
2:90000000-91000000	8	0	67	24	Nonsyntenic
2:91000000-92000000	8	0	73	34	Nonsyntenic
2:92000000-93000000	5	0	56	25	Nonsyntenic
2:93000000-94000000	2	0	59	21	Nonsyntenic
2:94000000-95000000	6	4	66	29	Nonsyntenic
2:95000000-96000000	6	0	71	28	Nonsyntenic
2:96000000-97000000	3	0	63	14	Nonsyntenic
2:97000000-98000000	3	0	40	15	Nonsyntenic
2:98000000-99000000	1	0	73	22	maize1
2:99000000-100000000	3	0	66	16	maize1
2:100000000-101000000	6	0	69	25	maize1
2:101000000-102000000	3	1	65	14	maize1
2:102000000-103000000	9	3	68	25	maize1
2:103000000-104000000	10	4	60	24	maize1
2:104000000-105000000	9	0	61	21	maize1
2:105000000-106000000	12	3	63	25	Nonsyntenic
2:106000000-107000000	11	2	66	21	Nonsyntenic
2:107000000-108000000	9	1	63	29	Nonsyntenic
2:108000000-109000000	7	1	61	24	Nonsyntenic
2:109000000-110000000	2	0	67	23	Nonsyntenic
2:110000000-111000000	17	6	64	40	maize1
2:111000000-112000000	11	2	69	30	maize1
2:112000000-113000000	6	0	60	29	maize1
2:113000000-114000000	18	0	79	43	maize1
2:114000000-115000000	17	1	73	30	maize1
2:115000000-116000000	19	3	58	32	maize1
2:116000000-117000000	17	2	65	34	maize1
2:117000000-118000000	15	0	67	22	maize1
2:118000000-119000000	12	1	68	27	Nonsyntenic
2:119000000-120000000	8	2	68	19	Nonsyntenic
2:120000000-121000000	8	1	68	20	Nonsyntenic
2:121000000-122000000	10	0	79	25	Nonsyntenic
2:122000000-123000000	10	0	68	21	Nonsyntenic
2:123000000-124000000	1	0	69	28	Nonsyntenic
2:124000000-125000000	10	0	66	23	Nonsyntenic
2:125000000-126000000	2	0	70	28	Nonsyntenic
2:126000000-127000000	5	0	67	20	Nonsyntenic
2:127000000-128000000	2	0	76	24	maize2
2:128000000-129000000	2	0	68	22	maize2
2:129000000-130000000	11	2	69	24	maize2
2:130000000-131000000	6	4	67	24	maize2
2:131000000-132000000	5	1	64	27	maize2
2:132000000-133000000	10	0	52	37	Nonsyntenic
2:133000000-134000000	9	3	62	21	maize2
2:134000000-135000000	12	4	66	24	maize2
2:135000000-136000000	7	0	62	31	maize2
2:136000000-137000000	9	3	70	23	maize2
2:137000000-138000000	7	2	68	29	maize2
2:138000000-139000000	9	2	66	26	maize2
2:139000000-140000000	10	2	72	27	maize2
2:140000000-141000000	14	1	64	23	maize2
2:141000000-142000000	11	1	69	32	maize2
2:142000000-143000000	4	1	66	29	maize2
2:143000000-144000000	5	2	66	27	maize2
2:144000000-145000000	8	0	71	29	maize2
2:145000000-146000000	17	0	58	27	maize2
2:146000000-147000000	8	3	59	23	maize2
2:147000000-148000000	16	0	76	38	maize2
2:148000000-149000000	11	0	76	29	maize2
2:149000000-150000000	18	2	69	32	maize2
2:150000000-151000000	14	1	51	30	maize2
2:151000000-152000000	8	2	70	24	maize2
2:152000000-153000000	9	2	69	22	maize2
2:153000000-154000000	19	4	65	33	maize2
2:154000000-155000000	13	0	65	28	maize2
2:155000000-156000000	10	4	75	30	maize2
2:156000000-157000000	16	0	60	34	maize2
2:157000000-158000000	16	3	65	32	maize2
2:158000000-159000000	16	0	67	24	Nonsyntenic
2:159000000-160000000	7	0	59	25	Nonsyntenic
2:160000000-161000000	8	0	64	19	Nonsyntenic
2:161000000-162000000	18	0	60	28	Nonsyntenic
2:162000000-163000000	16	0	74	37	Nonsyntenic
2:163000000-164000000	18	2	66	35	maize2
2:164000000-165000000	6	0	68	29	maize2
2:165000000-166000000	14	0	66	32	Nonsyntenic
2:166000000-167000000	12	0	69	34	Nonsyntenic
2:167000000-168000000	14	2	63	26	Nonsyntenic
2:168000000-169000000	14	2	66	26	maize2
2:169000000-170000000	20	0	65	31	maize2
2:170000000-171000000	18	0	64	24	maize2
